"","nb_class","mean_att","mean_ope"
"1",1,2.21169088507266,2.07562747688243
"2",2,1.56100949293818,1.51458670988655
"3",3,2.59792127015304,2.55340044193469
"4",4,2.59816640719599,2.34163639508736
"5",5,2.49711263579188,1.8456546598056
"6",6,1.82072732499641,1.07207129509846
"7",7,2.23489233618893,1.41597206143397
"8",8,2.18374039715901,1.20204015074649
"9",9,1.96554812401151,1.17700413498733
"10",10,2.09043346665225,0.644546535509675
"11",11,2.02328386804921,0.492855178775756
"12",12,1.74991889699919,1.03167072181671
"13",13,1.62390913920016,0.834214453747502
"14",14,1.50486407249467,0.986906982942431
"15",15,1.54989384288747,0.963404748118124
"16",16,1.54998297002725,1.06637431880109
"17",17,1.37681806899975,0.996525192355423
"18",18,1.34054464370434,0.969684030742955
"19",19,1.32418090948356,0.9228728327266
"20",20,1.29308176100629,1.0003144654088
"21",21,1.37806090178007,0.908556971175567
"22",22,0.21442222665944,0.581567162050375
"23",23,0.183604653759407,0.28960943257185
"24",24,1.46865443425076,0.820846075433231
"25",25,1.28898734177215,1.19556962025316
"26",26,1.31270200387847,1.09469941822883
"27",27,1.15417331206805,0.74534821903243
"28",28,1.26230831315577,0.979620661824052
"29",29,1.37776055792329,0.81170089112747
"30",30,1.21769547325103,0.860082304526749
"31",31,1.19261337073399,0.829593267882188
"32",32,1.24380165289256,0.863636363636364
"33",33,0.343312683090813,0.331700523459636
"34",34,1.09046909903202,1.20923306031273
"35",35,1.1192118226601,1.31461412151067
"36",36,0.89405684754522,1.02583979328165
"37",37,1.51237152645603,1.05595736581652
"38",38,1.37573099415205,0.696271929824561
"39",39,1.52233250620347,0.698097601323408
"40",40,1.66060606060606,0.763636363636364
"41",41,0.831862999481059,0.804878048780488
"42",42,2.06625258799172,1.14285714285714
"43",43,1.29211571185479,0.627339761769711
"44",44,1.37878787878788,0.951704545454545
"45",45,1.41333333333333,1.31733333333333
"46",46,0.926630434782609,0.856754658385093
"47",47,1.35571808510638,1.42885638297872
"48",48,1.47857142857143,1.0202380952381
"49",49,0.643265306122449,0.521632653061225
"50",50,0.7352,1.4048
"51",51,1.50065359477124,1.02222222222222
"52",52,1.2525641025641,1.12820512820513
"53",53,1.27924528301887,0.582389937106918
"54",54,2.60683760683761,1.24074074074074
"55",55,1.53181818181818,0.222727272727273
"56",56,1.38988095238095,0.695436507936508
"57",57,4.45454545454545,1.27432216905901
"58",58,0.920258620689655,0.703663793103448
"59",59,0.955932203389831,1.46101694915254
"60",60,2.46060606060606,1.18636363636364
"61",61,1.38934426229508,0.254098360655738
"62",62,1.37717121588089,0.714640198511166
"63",63,1.32867494824017,0.818495514147688
"64",64,0.21875,0.09375
"65",65,1.01076923076923,0.32
"66",66,0.915151515151515,0.596969696969697
"67",67,1.03663500678426,0.941655359565807
"68",68,1.21323529411765,1.45710784313726
"69",69,0.492753623188406,0.309178743961353
"70",70,2.41428571428571,0.545714285714286
"71",71,1.27967806841046,0.3158953722334
"72",72,1.89484126984127,0.720238095238095
"73",73,1.18264840182648,0.931506849315068
"74",74,0.474201474201474,0.246928746928747
"75",75,0.758518518518519,0.186666666666667
"76",76,0.424342105263158,0.190789473684211
"77",77,2.44805194805195,0.383116883116883
"78",78,1.02564102564103,2.1025641025641
"79",79,0.414556962025316,0.892405063291139
"80",80,0.2,0.4375
"81",81,1.37777777777778,0.449382716049383
"82",82,1.20731707317073,0.109756097560976
"83",83,2.95481927710843,0.072289156626506
"84",84,0.579365079365079,0.857142857142857
"85",85,0.597058823529412,1.47647058823529
"86",87,3.07471264367816,1.25287356321839
"87",88,1.20075757575758,0.0113636363636364
"88",89,3.75280898876404,0
"89",90,0.911111111111111,0
"90",91,0,0
"91",92,1.76884057971014,1.14492753623188
"92",94,1.92553191489362,0.00531914893617021
"93",97,1.27628865979381,1.45360824742268
"94",98,1.64285714285714,1.87755102040816
"95",99,0.686868686868687,0.393939393939394
