"","attribute","moy_ope"
"1",0,3.16302199973653
"2",1,3.65508933949006
"3",2,12.1454383886256
"4",3,6.74752261956053
"5",4,7.17763751127142
"6",5,3.91325136612022
"7",6,10.1886214442013
"8",7,10.3654957759004
"9",8,11.0038709677419
"10",9,11.4005751848809
"11",10,10.8478098090603
"12",11,12.3174451858913
"13",12,11.9148622047244
"14",13,12.3235755358076
"15",14,12.9342541436464
"16",15,11.9944289693593
"17",16,12.7081930415264
"18",17,13.3365735115431
"19",18,14.6289569278672
"20",19,13.4718446601942
"21",20,14.1906432748538
"22",21,13.1338315217391
"23",22,11.1717229536348
"24",23,10.3497481813095
"25",24,2.49658947368421
"26",25,14.2228490832158
"27",26,15.0986949429038
"28",27,15.3097534833869
"29",28,13.4304783092325
"30",29,17.6332487309645
"31",30,14.0285006195787
"32",31,13.5629139072848
"33",32,16.4820846905537
"34",33,14.7469026548673
"35",34,17.9563862928349
"36",35,16.5690515806988
"37",36,16.0360531309298
"38",37,15.063872255489
"39",38,16.8481561822126
"40",39,17.4241071428571
"41",40,14.3619047619048
"42",41,14.9248291571754
"43",42,16.7889447236181
"44",43,18.5314465408805
"45",44,17.2967032967033
"46",45,14.8914473684211
"47",46,24.4652406417112
"48",47,18.8518518518519
"49",48,18.6787003610108
"50",49,15.1188118811881
"51",50,18.2857142857143
"52",51,21.9316239316239
"53",52,16.264367816092
"54",53,18.687898089172
"55",54,19.3875598086124
"56",55,22.8294573643411
"57",56,16.1428571428571
"58",57,16.7986111111111
"59",58,24.6923076923077
"60",59,20.5867768595041
"61",60,22.8273381294964
"62",61,19.7708333333333
"63",62,29.9424460431655
"64",63,26.4659090909091
"65",64,22.6237623762376
"66",65,19.0571428571429
"67",66,22.25
"68",67,26.8095238095238
"69",68,27.5797101449275
"70",69,16.0153846153846
"71",70,22.1475409836066
"72",71,26.4444444444444
"73",72,17
"74",73,24.9661016949153
"75",74,23.7894736842105
"76",75,42.5263157894737
"77",76,28.1395348837209
"78",77,32.5416666666667
"79",78,35.804347826087
"80",79,22.5777777777778
"81",80,39.7
"82",81,33.4736842105263
"83",82,28.7906976744186
"84",83,26.7083333333333
"85",84,24.2558139534884
"86",85,27.25
"87",86,48.0789473684211
"88",87,47.607476635514
"89",88,30.1935483870968
"90",89,38.6129032258064
"91",90,27.2272727272727
"92",91,48.8055555555556
"93",92,35.6451612903226
"94",93,37.2222222222222
"95",94,57.3076923076923
"96",95,36.5294117647059
"97",96,17.1904761904762
"98",97,24.4
"99",98,22.6
"100",99,25.3913043478261
"101",100,33.8
"102",101,37
"103",102,14.3888888888889
"104",103,47.1428571428571
"105",104,56.1666666666667
"106",105,15.3333333333333
"107",106,43.0909090909091
"108",107,19.2
"109",108,15.5384615384615
"110",109,17.5833333333333
"111",110,62.1538461538462
"112",111,24.1666666666667
"113",112,30.4545454545455
"114",113,19.2142857142857
"115",114,35.0666666666667
"116",115,28.4285714285714
"117",116,19
"118",117,46.0833333333333
"119",118,49.8
"120",119,103.6
"121",120,65.4
"122",121,8.25
"123",122,22.5714285714286
"124",123,24
"125",124,40.2857142857143
"126",125,36
"127",126,83.625
"128",127,64.75
"129",128,37.625
"130",129,123.25
"131",130,44
"132",131,31.5714285714286
"133",132,82.75
"134",133,26.1111111111111
"135",134,47.5
"136",135,51.6
"137",136,269
"138",137,57.3636363636364
"139",138,22.2
"140",139,46.3333333333333
"141",140,6.14285714285714
"142",141,24.5
"143",142,103
"144",143,0
"145",144,139.428571428571
"146",145,39
"147",146,44.3333333333333
"148",147,0
"149",148,133.8
"150",149,0
"151",150,0
"152",151,97.1666666666667
"153",152,1.66666666666667
"154",153,50.6666666666667
"155",154,12
"156",155,51.6666666666667
"157",156,56
"158",157,252.666666666667
"159",158,39.3333333333333
"160",159,0
"161",160,0
"162",161,108
"163",162,0
"164",163,0
"165",164,4
"166",165,99.6
"167",166,49
"168",167,100.8
"169",168,0
"170",169,9
"171",170,121.5
"172",171,9
"173",172,38
"174",173,131
"175",174,298
"176",175,0
"177",176,237.333333333333
"178",177,12.25
"179",178,0
"180",179,0
"181",180,0
"182",181,130
"183",183,103.933333333333
"184",188,67.5
"185",189,140.666666666667
"186",190,81
"187",191,0
"188",192,80
"189",193,38.6666666666667
"190",194,0
"191",195,91.5
"192",196,52.25
"193",197,0
"194",201,157.5
"195",202,55
"196",203,72.6666666666667
"197",205,0
"198",207,0
"199",210,20
"200",212,0
"201",213,107
"202",215,200
"203",216,63
"204",217,0
"205",218,0
"206",220,0
"207",221,87.3333333333333
"208",222,0
"209",223,0
"210",224,77.6666666666667
"211",225,0
"212",227,0
"213",228,0
"214",229,111
"215",230,0
"216",232,254
"217",234,136
"218",236,41
"219",237,1
"220",238,9
"221",239,0
"222",242,0
"223",243,0
"224",252,146
"225",253,0
"226",255,5.5
"227",259,0
"228",261,1
"229",267,185
"230",268,0
"231",275,186
"232",277,0
"233",279,0
"234",284,0
"235",285,52.4
"236",287,53
"237",288,27
"238",291,0
"239",298,85
