"","color","n"
"1","#CBC9BA",2975
"2","#DFF2FF",2295
"3","#87C1E7",2184
"4","#FCFFBF",1988
"5","#E9E3B9",1527
"6","#FFE591",1331
"7","#99CC99",1235
"8","#6ADAFF",1184
"9","#ACC2FF",1105
"10","#FFFFFF",981
"11","#BEDB89",623
"12","#DDDDDD",535
"13","#EEEEEE",534
"14","#98FB98",471
"15","#FF6347",459
"16","#888888",362
"17","#FFC8CF",306
"18","#FFD700",275
"19","#BDABE9",258
"20","#66CDAA",241
"21","#DA70D6",240
"22","#F5DEB3",211
"23","#E1B58E",173
"24","#333333",158
"25","#880000",135
"26","#82E2FF",8
"27","#98C989",8
"28","#2B83BA",7
"29","#B4C8D2",7
"30","#B4E6B4",7
"31","#FABEBE",7
"32","#A0B1BA",6
"33","#ABDDA4",6
"34","#D1FFD2",5
"35","#E0BBE4",5
"36","#E8DBE0",4
"37","#FAE7B5",4
"38","#FAF0B4",4
"39","#FCFCDD",4
"40","#FF9A00",4
"41","#000000",3
"42","#B7E8DE",3
"43","#CDCDCD",3
"44","#CDD7FF",3
"45","#185ADB",2
"46","#1EAE98",2
"47","#4CA1A3",2
"48","#511281",2
"49","#77ACF1",2
"50","#96ADA2",2
"51","#A2E2FF",2
"52","#A4DBB7",2
"53","#C0E218",2
"54","#D1BFCB",2
"55","#D2E603",2
"56","#E5DAF0",2
"57","#EAE5D7",2
"58","#F7EA00",2
"59","#F8B5B5",2
"60","#FAFAFA",2
"61","#FE346E",2
"62","#FF0055",2
"63","#FF005C",2
"64","#FF5151",2
"65","#FF5D6C",2
"66","#FFA5A1",2
"67","#001E6C",1
"68","#00CC00",1
"69","#00FFFF",1
"70","#0104FF",1
"71","#0D2742",1
"72","#111110",1
"73","#233E8B",1
"74","#309EFF",1
"75","#3E2806",1
"76","#4169E1",1
"77","#507F47",1
"78","#5283E5",1
"79","#52DEE5",1
"80","#55BB55",1
"81","#55FB55",1
"82","#662F00",1
"83","#66FF66",1
"84","#6F552E",1
"85","#717171",1
"86","#71BC78",1
"87","#72147E",1
"88","#8124FF",1
"89","#83D763",1
"90","#84E45A",1
"91","#87CAE7",1
"92","#88FFF7",1
"93","#8BC9BA",1
"94","#8C8C8C",1
"95","#93E693",1
"96","#9885E2",1
"97","#9AB3F5",1
"98","#9E7BFF",1
"99","#9FD9EC",1
"100","#A7AFA5",1
"101","#AAAAAA",1
"102","#AD66D5",1
"103","#B4EF6D",1
"104","#BB22AA",1
"105","#BBCCC7",1
"106","#BCFFB9",1
"107","#C8A2C8",1
"108","#CCFFCC",1
"109","#CCFFEE",1
"110","#CFFFCF",1
"111","#CFFFFF",1
"112","#D13C3C",1
"113","#D18177",1
"114","#D2EBC1",1
"115","#D3D3D3",1
"116","#DC2ADE",1
"117","#DCCCC8",1
"118","#DFFFE0",1
"119","#E2BEE8",1
"120","#E8A6E2",1
"121","#EEFFCC",1
"122","#EFEFEF",1
"123","#F4BBFF",1
"124","#F7EFFF",1
"125","#FAFF00",1
"126","#FBBF72",1
"127","#FF0000",1
"128","#FF00C8",1
"129","#FF0601",1
"130","#FF4D00",1
"131","#FF577F",1
"132","#FF5C2F",1
"133","#FF6000",1
"134","#FF6260",1
"135","#FF6300",1
"136","#FF6370",1
"137","#FF7000",1
"138","#FF7347",1
"139","#FF9999",1
"140","#FFAA00",1
"141","#FFAAAA",1
"142","#FFB2C4",1
"143","#FFC3A0",1
"144","#FFC700",1
"145","#FFC87E",1
"146","#FFCCCC",1
"147","#FFCCFF",1
"148","#FFD722",1
"149","#FFDDCF",1
"150","#FFDFDF",1
"151","#FFDFE6",1
"152","#FFE673",1
"153","#FFEFEF",1
"154","#FFEFFF",1
"155","#FFF299",1
"156","#FFFB00",1
"157","#FFFF00",1
"158","#FFFF99",1
"159","#FFFFDF",1
"160","#FFFFEF",1
